hotel,city,nation,reviewer,vote
Hotel Monopol,Frankfurt,Deutschland,marcurban,8.0
Hotel Monopol,Frankfurt,Deutschland, Matze S,8.0
Hotel Monopol,Frankfurt,Deutschland, berenice511,8.0
Hotel Monopol,Frankfurt,Deutschland, Calle99,6.0
Hotel Monopol,Frankfurt,Deutschland, agent13357,6.0
Hotel Monopol,Frankfurt,Deutschland,BBoehme44,0.0
Hotel Monopol,Frankfurt,Deutschland,NAW_Newbury,3.0
Hotel Monopol,Frankfurt,Deutschland,ollith,6.0
Hotel Erzgiesserei Europe,München,Deutschland,pe_sch,6.0
Hotel Erzgiesserei Europe,München,Deutschland, grafmanfred,8.0
Hotel Erzgiesserei Europe,München,Deutschland, dri_idri,6.0
Hotel Erzgiesserei Europe,München,Deutschland, Bernd-X1,8.0
Hotel Erzgiesserei Europe,München,Deutschland, Paul D,8.0
Hotel Erzgiesserei Europe,München,Deutschland,ollith,1.0
Hotel Erzgiesserei Europe,München,Deutschland,eithne e,8.0
Hotel Erzgiesserei Europe,München,Deutschland,Explore763945,5.0
Hotel Spiegel,Köln,Deutschland,Peter T. Kemme,10.0
Hotel Spiegel,Köln,Deutschland, Thomas,8.0
Hotel Spiegel,Köln,Deutschland, Peter T. Kemme,10.0
Hotel Spiegel,Köln,Deutschland, Registerd Nerd,8.0
Hotel Spiegel,Köln,Deutschland, Victoria,6.0
Hotel Spiegel,Köln,Deutschland,BBoehme44,5.0
Hotel Spiegel,Köln,Deutschland,Andrea B,6.0
Hotel Spiegel,Köln,Deutschland,M. Fehling,9.0
Days Inn Leipzig City Centre, Leipzig,Deutschland,Andy13567,4.0
Days Inn Leipzig City Centre, Leipzig,Deutschland, Axel S,2.0
Days Inn Leipzig City Centre, Leipzig,Deutschland, Hans R,4.0
Days Inn Leipzig City Centre, Leipzig,Deutschland, Wolfgang B,6.0
Days Inn Leipzig City Centre, Leipzig,Deutschland, Nika3579,8.0
Days Inn Leipzig City Centre, Leipzig,Deutschland,Kati_reist,1.0
Days Inn Leipzig City Centre, Leipzig,Deutschland,Jader G,7.0
Days Inn Leipzig City Centre, Leipzig,Deutschland,BBoehme44,0.0
The Suite Hotel Fabric,Frankfurt,Deutschland,Julia M,10.0
The Suite Hotel Fabric,Frankfurt,Deutschland, Hocico,6.0
The Suite Hotel Fabric,Frankfurt,Deutschland, CityTripper1,2.0
The Suite Hotel Fabric,Frankfurt,Deutschland, RalphKo,10.0
The Suite Hotel Fabric,Frankfurt,Deutschland, Sara S,10.0
The Suite Hotel Fabric,Frankfurt,Deutschland,Andrea B,0.0
The Suite Hotel Fabric,Frankfurt,Deutschland,ollith,7.0
The Suite Hotel Fabric,Frankfurt,Deutschland,NAW_Newbury,7.0
Oberstdorfer Einkehr, Oberstdorf,Deutschland,anTTraXX1887,10.0
Oberstdorfer Einkehr, Oberstdorf,Deutschland, Andreas R,8.0
Oberstdorfer Einkehr, Oberstdorf,Deutschland, thorstenadels,10.0
Oberstdorfer Einkehr, Oberstdorf,Deutschland, xaver a,10.0
Oberstdorfer Einkehr, Oberstdorf,Deutschland, Peter P,10.0
